,endTime,artistName,trackName,msPlayed
310,2020-10-05 00:12,Hozier,"Wasteland, Baby!",266466
311,2020-10-05 00:16,Hozier,Someone New,222813
312,2020-10-05 00:18,The Lumineers,Flowers in Your Hair,109735
313,2020-10-05 00:21,Hozier,Almost (Sweet Music),217480
314,2020-10-05 00:27,Hozier,In the Woods Somewhere,331400
315,2020-10-05 00:32,Hozier,From Eden,283466
316,2020-10-05 00:36,Hozier,Work Song,229720
317,2020-10-05 00:39,The Lumineers,It Wasn't Easy To Be Happy For You,214066
318,2020-10-05 00:43,Hozier,Run,254773
319,2020-10-05 00:47,The Lumineers,Cleopatra,201413
320,2020-10-05 00:50,Hozier,Jackie and Wilson,223120
321,2020-10-05 00:54,The Lumineers,Sleep On The Floor,211851
322,2020-10-05 00:57,Hozier,To Noise Making (Sing),206920
323,2020-10-05 01:01,The Lumineers,Gloria,216120
324,2020-10-05 01:04,The Lumineers,Angela,201785
325,2020-10-05 01:09,The Lumineers,Dead Sea,247933
326,2020-10-05 01:12,The Lumineers,Life In The City,231360
327,2020-10-05 01:16,The Lumineers,Donna,185973
328,2020-10-05 01:18,The Lumineers,Ho Hey,163133
329,2020-10-05 01:19,Hozier,Cherry Wine - Live,55037
330,2020-10-05 01:30,Lil Dicky,Pillow Talking (feat. Brain),7732
331,2020-10-05 01:30,Lil Dicky,Pillow Talking (feat. Brain),6360
332,2020-10-05 01:30,Lil Dicky,Pillow Talking (feat. Brain),645876
333,2020-10-05 01:34,Lil Dicky,Molly (feat. Brendon Urie of Panic at the Disco),244339
334,2020-10-05 01:39,The Lumineers,Walls,2020
335,2020-10-05 01:39,Kent Jones,"Sit Down (feat. Ty Dolla $ign, Lil Dicky & E-40)",12646
336,2020-10-05 01:39,Owl City,Cave In,1741
337,2020-10-05 01:39,Lil Dicky,Lemme Freak,285894
338,2020-10-05 01:44,Mumford & Sons,Woman,274552
339,2020-10-05 01:47,The Lumineers,Cleopatra,201413
340,2020-10-05 01:48,OutKast,Hey Ya! - Radio Mix,20126
341,2020-10-05 01:52,Hozier,From Eden,283466
342,2020-10-05 01:58,Hozier,No Plan,331013
343,2020-10-05 02:01,The Lumineers,Ho Hey,163133
344,2020-10-05 02:04,Hozier,Jackie and Wilson,223120
345,2020-10-05 02:06,The Lumineers,Flowers in Your Hair,109735
346,2020-10-05 02:10,The Lumineers,Cleopatra,201413
347,2020-10-05 02:15,The Lumineers,Ain't Nobody's Problem,296360
348,2020-10-05 02:18,The Lumineers,Left For Denver,196653
349,2020-10-05 02:21,The Lumineers,Walls,199118
350,2020-10-05 02:25,Hozier,Work Song,229720
351,2020-10-05 02:28,The Lumineers,Classy Girls,165933
352,2020-10-05 02:30,The Lumineers,Ophelia,160097
353,2020-10-05 02:34,Hozier,Almost (Sweet Music),217480
354,2020-10-05 02:43,Shawn Mendes,Wonder,67670
355,2020-10-05 03:11,Conan Gray,Heather,7690
356,2020-10-05 03:19,The Lumineers,Left For Denver,196653
357,2020-10-05 03:20,The Lumineers,Walls,1880
358,2020-10-05 03:20,The Lumineers,Flowers in Your Hair,1741
359,2020-10-05 03:20,Hozier,Cherry Wine - Live,789
360,2020-10-05 03:20,The Lumineers,Life In The City,789
361,2020-10-05 03:20,The Lumineers,Cleopatra,1393
362,2020-10-05 03:20,Hozier,Jackie and Wilson,2182
363,2020-10-05 03:20,Hozier,Jackie and Wilson,17116
364,2020-10-05 03:20,The Lumineers,Jimmy Sparks,998
365,2020-10-05 03:20,Hozier,Movement,142538
366,2020-10-05 03:20,Hozier,Run,1416
367,2020-10-05 03:20,The Lumineers,Dead Sea,1834
368,2020-10-05 03:20,Hozier,No Plan,1137
369,2020-10-05 03:24,Hozier,Movement,237800
370,2020-10-05 03:28,Hozier,Nina Cried Power (feat. Mavis Staples),225306
371,2020-10-05 03:33,The Lumineers,Slow It Down,239504
372,2020-10-05 03:37,The Lumineers,Slow It Down,5456
373,2020-10-05 03:37,The Lumineers,Slow It Down,17180
374,2020-10-05 03:38,The Lumineers,Slow It Down,44994
375,2020-10-05 03:41,Hozier,Work Song,229720
376,2020-10-05 03:45,Hozier,To Noise Making (Sing),206920
377,2020-10-05 04:57,The Lumineers,Walls,199118
378,2020-10-05 05:01,Hozier,Angel of Small Death and the Codeine Scene,219213
379,2020-10-05 05:04,The Lumineers,Donna,185973
380,2020-10-05 05:07,The Lumineers,Classy Girls,165933
381,2020-10-05 05:10,Hozier,Like Real People Do,198026
382,2020-10-05 05:14,The Lumineers,Left For Denver,196653
383,2020-10-05 05:18,Hozier,Run,254773
384,2020-10-05 05:22,The Lumineers,Salt And The Sea,270892
385,2020-10-05 05:26,Hozier,Take Me to Church,241693
386,2020-10-05 05:30,Hozier,Cherry Wine - Live,240146
387,2020-10-05 05:34,The Lumineers,Life In The City,231360
388,2020-10-05 05:40,Hozier,In the Woods Somewhere,331400
389,2020-10-05 05:46,The Lumineers,Leader Of The Landslide,354840
390,2020-10-05 05:50,The Lumineers,Stubborn Love,279000
391,2020-10-05 05:54,Hozier,Almost (Sweet Music),217480
392,2020-10-05 05:59,The Lumineers,Ain't Nobody's Problem,296360
393,2020-10-05 06:01,Hozier,Jackie and Wilson,131291
394,2020-10-05 06:06,C418,Mice On Venus,281500
395,2020-10-05 06:08,C418,Excuse,124000
396,2020-10-05 06:10,C418,Dog,145750
397,2020-10-05 06:12,C418,Beginning,102100
398,2020-10-05 06:15,C418,Living Mice,177500
399,2020-10-05 06:16,C418,Key,65000
400,2020-10-05 06:18,C418,Wet Hands,90000
401,2020-10-05 06:21,C418,Clark,191750
402,2020-10-05 06:22,C418,Sweden,62449
403,2020-10-05 06:22,Hozier,Jackie and Wilson,3490
404,2020-10-05 06:25,The Lumineers,Cleopatra,201413
405,2020-10-05 06:29,The Lumineers,Gale Song,193720
406,2020-10-05 06:29,Hozier,Movement,30016
407,2020-10-05 15:23,Fort Minor,Remember the Name (feat. Styles of Beyond),230493
408,2020-10-05 15:27,Juice WRLD,Lucid Dreams,239835
409,2020-10-05 15:31,OutKast,Hey Ya! - Radio Mix,235213
410,2020-10-05 15:36,Electric Light Orchestra,Mr. Blue Sky,303373
411,2020-10-05 15:40,"Earth, Wind & Fire",September,215093
412,2020-10-05 15:44,Toby Keith,Red Solo Cup,223386
413,2020-10-05 15:47,Carrie Underwood,Before He Cheats,199946
414,2020-10-05 15:51,Counting Crows,Mr. Jones,13653
415,2020-10-05 15:51,Hugh Jackman,The Greatest Show,2809
416,2020-10-05 15:51,Gotye,Somebody That I Used To Know,2020
417,2020-10-05 15:51,Murray Head,One Night in Bangkok,84524
418,2020-10-05 15:51,Mike Posner,Cooler Than Me - Single Mix,2484
419,2020-10-05 15:51,Foster The People,Pumped Up Kicks,1648
420,2020-10-05 15:54,The Killers,Mr. Brightside,1555
421,2020-10-05 15:54,Semisonic,Closing Time,6873
422,2020-10-05 15:54,OutKast,Roses,5503
423,2020-10-05 15:54,Zac Brown Band,Chicken Fried,2674
424,2020-10-05 15:54,The Neighbourhood,Sweater Weather,1137
425,2020-10-05 15:54,blackbear,hot girl bummer,188343
426,2020-10-05 15:55,DJ Jazzy Jeff & The Fresh Prince,The Fresh Prince of Bel-Air,2577
427,2020-10-05 15:55,Kero Kero Bonito,Flamingo,1091
428,2020-10-05 15:55,OutKast,Ms. Jackson,2205
429,2020-10-05 16:00,Rage Against The Machine,Killing In The Name,313573
430,2020-10-05 16:04,Beck,Loser,235000
431,2020-10-05 16:06,Kanye West,Lift Yourself,147904
432,2020-10-05 16:06,Jimmy Eat World,The Middle,3032
433,2020-10-05 16:56,Hoodie Allen,No Interruption,35689
434,2020-10-05 16:59,Lil Dicky,Freaky Friday (feat. Chris Brown),216631
435,2020-10-05 17:04,Lil Dicky,Earth,281500
436,2020-10-05 17:08,Lil Dicky,Molly (feat. Brendon Urie of Panic at the Disco),244339
437,2020-10-05 17:09,Lil Dicky,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),31110
438,2020-10-05 17:15,Justin Bieber,Running Over (feat. Lil Dicky),40256
439,2020-10-05 17:15,Lil Dicky,Professional Rapper (feat. Snoop Dogg),353959
440,2020-10-05 17:17,Trinidad James,Just A Lil' Thick (She Juicy) (feat. Mystikal & Lil Dicky),121068
441,2020-10-05 17:18,Kent Jones,"Sit Down (feat. Ty Dolla $ign, Lil Dicky & E-40)",10332
442,2020-10-05 17:18,ProbCause,The Woods (Remix) [feat. Lil Dicky],1346
443,2020-10-05 17:20,Lil Dicky,Lemme Freak,154621
444,2020-10-05 17:21,C418,Key,65000
445,2020-10-05 17:23,C418,Door,111437
446,2020-10-05 17:25,C418,Beginning,102100
